USER;GAME;DATE;LEVEL;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;HAND_RIGHT;AUTOGRIP;TRACKING_FILE;HMD_POSITION_X;HMD_POSITION_Y;HMD_POSITION_Z;HMD_ROTATION_X;HMD_ROTATION_Y;HMD_ROTATION_Z;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIPO_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
2;HGTrainer;20230914_173203;5;81,21858;52;37;15;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/2/TrackingData/OculusTracking_20230914_173042.csv;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Progressive2;Handball;5;15;1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,2,1,2,1,1,3,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,2,2,1,1,1,1,2,2,1;(4.79, 1.16, -1.07),(7.77, 1.16, 2.76),(4.90, 1.16, -1.52),(7.99, 1.16, -3.51),(4.84, 1.15, -2.00),(7.66, 1.15, 3.86),(7.74, 1.15, -3.93),(4.95, 1.17, -0.38),(7.43, 1.17, 4.21),(7.33, 1.17, 4.60),(8.17, 1.17, -2.57),(8.05, 1.17, 2.16),(8.04, 1.15, 3.40),(7.60, 1.15, 4.01),(8.35, 1.17, 1.66),(7.70, 1.17, -3.83),(7.80, 1.15, -3.89),(7.71, 1.17, 4.26),(7.54, 1.16, -4.53),(4.86, 1.16, -2.13),(5.01, 1.16, -0.90),(8.06, 1.16, -3.17),(7.28, 1.15, 4.85),(8.14, 1.17, -2.47),(7.18, 1.15, 4.63),(4.78, 1.16, 0.12),(4.62, 1.16, -1.32),(4.88, 1.15, -1.89),(7.67, 1.15, -4.12),(7.66, 1.16, 3.58),(7.50, 1.15, -4.86),(8.24, 1.15, -2.39),(4.93, 1.15, -1.30),(7.63, 1.15, -3.59),(4.82, 1.16, -0.59),(7.44, 1.16, -4.84),(4.73, 1.17, -1.58),(4.94, 1.16, -0.29),(8.24, 1.15, 2.04),(7.74, 1.16, 3.81),(7.56, 1.17, -4.81),(7.58, 1.17, 3.80),(4.72, 1.17, -0.12),(4.57, 1.16, -1.56),(8.07, 1.16, -2.96),(4.82, 1.15, -0.80),(4.65, 1.15, -0.03),(7.46, 1.16, 3.88),(7.45, 1.15, -4.83),(7.17, 1.15, 4.68),(4.68, 1.17, -0.24),(7.19, 1.15, 4.86);Central,LateralDerecho,Central,LateralIzquierdo,Central,LateralDerecho,LateralIzquierdo,Central,LateralDerecho,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralDerecho,LateralDerecho,LateralIzquierdo,LateralIzquierdo,LateralDerecho,LateralIzquierdo,Central,Central,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralDerecho,Central,Central,Central,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralIzquierdo,Central,LateralIzquierdo,Central,LateralIzquierdo,Central,Central,LateralDerecho,LateralDerecho,LateralIzquierdo,LateralDerecho,Central,Central,LateralIzquierdo,Central,Central,LateralDerecho,LateralIzquierdo,LateralDerecho,Central,LateralDerecho;(15.75, 1.67, 1.17),(15.75, 1.26, 0.08),(15.75, 1.27, 0.06),(15.75, 1.30, 0.52),(15.75, 1.86, 0.76),(15.75, 1.72, 0.03),(15.75, 1.85, 0.74),(15.75, 1.75, 1.36),(15.75, 1.81, 0.67),(15.75, 1.86, -1.11),(15.75, 1.85, 0.63),(15.75, 1.28, 1.29),(15.75, 1.34, 0.70),(15.75, 1.73, 0.14),(15.75, 1.69, 0.75),(15.75, 1.25, 1.09),(15.75, 1.68, -0.04),(15.75, 1.34, 1.22),(15.75, 1.73, 1.36),(15.75, 1.83, 1.36),(15.75, 1.69, -0.05),(15.75, 1.73, 0.48),(15.75, 1.36, -0.62),(15.75, 1.26, 1.36),(15.75, 1.72, 0.55),(15.75, 1.81, -0.56),(15.75, 1.14, 0.78),(15.75, 1.29, 0.69),(15.75, 1.26, 0.62),(15.75, 1.29, 0.08),(15.75, 1.33, 0.12),(15.75, 1.17, -0.68),(15.75, 1.65, 0.09),(15.75, 1.67, 0.16),(15.75, 1.84, -0.11),(15.75, 1.79, 0.74),(15.75, 1.80, 1.12),(15.75, 1.84, 0.06),(15.75, 1.36, 0.09),(15.75, 1.78, -0.02),(15.75, 1.64, 0.16),(15.75, 1.71, -1.21),(15.75, 1.69, -1.27),(15.75, 1.14, -0.09),(15.75, 1.24, 0.74),(15.75, 1.17, -1.18),(15.75, 1.86, -0.03),(15.75, 1.21, -1.28),(15.75, 1.71, 0.60),(15.75, 1.17, 0.53),(15.75, 1.22, -0.48),(15.75, 1.86, 1.15);EscuadraDerecha,CentroBajo,CentroBajo,CentroDerechaBajo,CentroDerecha,Centro,CentroDerecha,EscuadraDerecha,CentroDerecha,EscuadraIzquierda,CentroDerecha,BajoDerecha,CentroDerechaBajo,Centro,CentroDerecha,BajoDerecha,Centro,BajoDerecha,EscuadraDerecha,EscuadraDerecha,Centro,CentroDerecha,CentroIzquierdaBajo,BajoDerecha,CentroDerecha,CentroIzquierda,CentroDerechaBajo,CentroDerechaBajo,CentroDerechaBajo,CentroBajo,CentroBajo,CentroIzquierdaBajo,Centro,Centro,Centro,CentroDerecha,EscuadraDerecha,Centro,CentroBajo,Centro,Centro,EscuadraIzquierda,EscuadraIzquierda,CentroBajo,CentroDerechaBajo,BajoIzquierda,Centro,BajoIzquierda,CentroDerecha,CentroDerechaBajo,CentroIzquierdaBajo,EscuadraDerecha;Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido;Right,Right,Left,Right,Right,Right,No parada,Right,Right,Right,No parada,Right,Right,No parada,Left,Right,No parada,Right,Right,Right,No parada,No parada,Left,Left,Left,No parada,Right,Right,Right,Left,Right,Left,Right,Left,No parada,Left,Right,No parada,Left,No parada,Right,No parada,No parada,No parada,Right,Left,No parada,Left,Right,Right,Right,No parada;0,014111,3,188656,6,306005,9,30852,12,171434,14,884928,17,457003,19,851075,22,066469,24,16228,26,164764,28,075089,29,67025,31,248897,32,790955,33,965677,35,276749,36,63544,37,813831,39,077548,40,671514,42,382741,43,716742,45,021977,46,062239,47,295051,48,848818,50,349048,51,787664,52,967583,54,139773,55,294734,56,323551,57,740418,58,813433,60,293441,61,446859,62,792102,64,261224,65,239809,66,490115,67,657712,68,980723,70,526466,71,983093,72,990344,74,21513,75,772152,76,826597,77,894527,79,014207,80,224679;1,388127,4,200853,7,630665,10,308971,13,450906,15,983498,18,819816,21,099258,23,138369,25,275036,27,419775,28,948671,30,621477,32,534225,33,615274,34,999196,36,427993,37,620007,38,885025,40,460189,42,175859,43,515275,44,823672,45,86533,47,100724,48,644657,50,15245,51,59205,52,775739,53,943563,55,102478,56,133507,57,544443,58,611638,60,084849,61,255371,62,595613,64,051839,65,042461,66,283636,67,466594,68,772972,70,321797,71,774437,72,79394,74,020822,75,561206,76,62992,77,70199,78,811064,80,03128,81,218452

USER;GAME;DATE;LEVEL;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;HAND_RIGHT;AUTOGRIP;TRACKING_FILE;HMD_POSITION_X;HMD_POSITION_Y;HMD_POSITION_Z;HMD_ROTATION_X;HMD_ROTATION_Y;HMD_ROTATION_Z;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIPO_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
2;HGTrainer;20230914_173423;5;73,66839;46;31;15;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/2/TrackingData/OculusTracking_20230914_173309.csv;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Progressive2;Handball;6;15;1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,3,1,2,1,1,1,2,2,3,2,2,2,1,3,2,1,1,3,2,1,1,1,1,1,2;(8.53, 1.16, -5.30),(4.79, 1.16, -0.90),(8.06, 1.16, 1.96),(8.28, 1.17, -2.43),(7.49, 1.15, 4.18),(4.73, 1.15, -0.42),(7.72, 1.15, -3.93),(4.80, 1.15, -1.86),(7.15, 1.16, 4.73),(4.92, 1.15, -0.18),(4.77, 1.15, -1.53),(8.13, 1.16, 2.05),(4.95, 1.15, -0.64),(4.81, 1.17, -1.56),(4.72, 1.15, -0.61),(4.85, 1.16, -1.39),(4.72, 1.15, -0.80),(4.70, 1.15, -1.12),(7.45, 1.15, 4.83),(8.14, 1.15, 1.88),(4.90, 1.15, -1.64),(4.96, 1.15, -0.65),(4.75, 1.16, -1.52),(8.14, 1.15, -2.49),(4.73, 1.16, -1.43),(7.62, 1.17, 4.16),(4.78, 1.15, -0.81),(4.87, 1.15, -1.51),(8.38, 1.15, 1.87),(7.45, 1.15, -4.64),(8.47, 1.17, 1.84),(7.52, 1.15, 4.12),(8.23, 1.15, 1.69),(7.75, 1.15, -3.65),(8.53, 1.15, 2.17),(4.93, 1.16, -1.32),(4.88, 1.16, -0.46),(8.12, 1.17, -2.64),(4.63, 1.16, -0.26),(4.76, 1.16, -1.70),(7.77, 1.17, -2.99),(4.78, 1.15, -0.77),(8.12, 1.17, 2.33),(7.56, 1.15, 4.46),(8.33, 1.16, 1.94),(7.58, 1.17, 4.72);LateralIzquierdo,Central,LateralDerecho,LateralIzquierdo,LateralDerecho,Central,LateralIzquierdo,Central,LateralDerecho,Central,Central,LateralDerecho,Central,Central,Central,Central,Central,Central,LateralDerecho,LateralDerecho,Central,Central,Central,LateralIzquierdo,Central,LateralDerecho,Central,Central,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralDerecho,LateralIzquierdo,LateralDerecho,Central,Central,LateralIzquierdo,Central,Central,LateralIzquierdo,Central,LateralDerecho,LateralDerecho,LateralDerecho,LateralDerecho;(15.75, 1.78, 0.00),(15.75, 1.22, -0.47),(15.75, 1.28, -1.08),(15.75, 1.34, 1.21),(15.75, 1.74, -1.02),(15.75, 1.16, 0.77),(15.75, 1.26, -0.02),(15.75, 1.19, 0.59),(15.75, 1.72, -0.47),(15.75, 1.27, 0.60),(15.75, 1.32, 1.31),(15.75, 1.25, 0.69),(15.75, 1.83, 0.63),(15.75, 1.20, -1.25),(15.75, 1.71, 1.17),(15.75, 1.16, -1.05),(15.75, 1.30, -0.60),(15.75, 1.28, 1.15),(15.75, 1.23, -1.12),(15.75, 1.76, -0.04),(15.75, 1.25, 1.24),(15.75, 1.70, -0.05),(15.75, 1.75, -1.02),(15.75, 1.27, 0.54),(15.75, 1.32, -0.43),(15.75, 1.14, 1.36),(15.75, 1.15, 1.15),(15.75, 1.83, 1.11),(15.75, 1.79, 0.16),(15.75, 1.31, -1.21),(15.75, 1.19, -1.02),(15.75, 1.16, -1.31),(15.75, 1.22, 1.20),(15.75, 1.82, 0.60),(15.75, 1.79, -1.21),(15.75, 1.81, 0.70),(15.75, 1.77, -1.06),(15.75, 1.84, -1.20),(15.75, 1.76, 0.56),(15.75, 1.31, -0.67),(15.75, 1.27, -0.54),(15.75, 1.27, 0.66),(15.75, 1.25, 0.77),(15.75, 1.64, 1.31),(15.75, 1.72, 1.27),(15.75, 1.27, 1.11);Centro,CentroIzquierdaBajo,BajoIzquierda,BajoDerecha,EscuadraIzquierda,CentroDerechaBajo,CentroBajo,CentroDerechaBajo,CentroIzquierda,CentroDerechaBajo,BajoDerecha,CentroDerechaBajo,CentroDerecha,BajoIzquierda,EscuadraDerecha,BajoIzquierda,CentroIzquierdaBajo,BajoDerecha,BajoIzquierda,Centro,BajoDerecha,Centro,EscuadraIzquierda,CentroDerechaBajo,CentroIzquierdaBajo,BajoDerecha,BajoDerecha,EscuadraDerecha,Centro,BajoIzquierda,BajoIzquierda,BajoIzquierda,BajoDerecha,CentroDerecha,EscuadraIzquierda,CentroDerecha,EscuadraIzquierda,EscuadraIzquierda,CentroDerecha,CentroIzquierdaBajo,CentroIzquierdaBajo,CentroDerechaBajo,CentroDerechaBajo,EscuadraDerecha,EscuadraDerecha,BajoDerecha;Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido;Left,Left,Right,No parada,Right,Right,Right,Right,Right,Left,Right,No parada,Right,Right,Right,Right,Right,Left,Left,Right,Right,No parada,No parada,No parada,Right,No parada,Right,Right,Left,Left,Left,No parada,No parada,Right,No parada,Right,No parada,No parada,Right,Right,Left,Right,No parada,No parada,No parada,No parada;0,013704,3,159646,6,240054,9,127827,11,958948,14,670359,17,187215,19,648665,21,943516,24,085079,26,115111,28,070979,29,879932,31,54587,33,070065,34,501848,35,993057,37,330281,38,79307,39,937513,40,922403,42,238518,43,87721,45,628789,46,891748,48,210921,49,461197,50,833215,52,186768,53,163692,54,418233,55,436741,56,939807,58,074156,59,127489,60,260299,61,565076,63,153979,64,2924,65,663985,66,954294,67,988347,69,27143,70,37781,71,564963,72,682952;1,170755,4,526131,7,188504,10,320619,13,04884,15,929693,18,214222,20,972012,23,065997,25,340933,27,520531,29,1522,31,051533,32,792133,34,309372,35,802606,37,135369,38,597865,39,741946,40,724002,42,042943,43,669245,45,42077,46,681997,48,018592,49,259076,50,637576,51,992434,52,967586,54,21931,55,24157,56,732336,57,867777,58,932419,60,053966,61,371362,62,946889,64,085745,65,469376,66,761647,67,796748,69,075305,70,171135,71,35573,72,475748,73,668322

USER;GAME;DATE;LEVEL;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;HAND_RIGHT;AUTOGRIP;TRACKING_FILE;HMD_POSITION_X;HMD_POSITION_Y;HMD_POSITION_Z;HMD_ROTATION_X;HMD_ROTATION_Y;HMD_ROTATION_Z;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIPO_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
2;HGTrainer;20230914_183339;5;79,99409;52;37;15;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/2/TrackingData/OculusTracking_20230914_183219.csv;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;Progressive2;Handball;7;15;1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,2,2,2,1,3,2,1,2,1,2,1,1,2,1,3,3,1,3,2,1,1,2,3,1,1,1,1,2,2,2,2,2,2,3,1,1,2;(8.53, 1.16, -5.30),(7.56, 1.16, 3.33),(4.79, 1.16, -0.46),(4.61, 1.16, -1.76),(7.56, 1.15, 4.20),(8.28, 1.15, -2.33),(4.85, 1.15, -1.81),(8.35, 1.15, 1.76),(4.86, 1.15, -0.92),(4.67, 1.15, -1.56),(4.94, 1.15, -0.31),(4.65, 1.16, -1.88),(8.21, 1.15, 2.32),(7.68, 1.15, 3.56),(7.39, 1.15, -4.70),(4.88, 1.15, -0.84),(4.73, 1.15, -1.84),(4.98, 1.15, 0.05),(7.56, 1.15, -4.48),(7.95, 1.16, 2.69),(7.41, 1.16, 4.18),(8.15, 1.15, 2.15),(8.07, 1.16, -2.75),(8.63, 1.15, 1.72),(7.99, 1.15, -3.04),(7.74, 1.17, -3.98),(4.74, 1.15, -1.37),(7.47, 1.15, -4.43),(8.03, 1.15, -2.98),(7.76, 1.17, -3.56),(7.89, 1.15, 3.92),(4.88, 1.15, -0.69),(7.69, 1.15, 3.33),(8.07, 1.15, -2.28),(4.83, 1.16, 0.08),(4.80, 1.15, -1.34),(7.87, 1.15, 3.13),(4.76, 1.17, -0.56),(7.50, 1.15, -4.02),(7.67, 1.17, -3.72),(7.87, 1.15, -3.38),(8.00, 1.15, 2.62),(4.86, 1.17, -1.04),(7.76, 1.17, 4.00),(4.80, 1.15, -0.27),(7.36, 1.15, 4.69),(7.71, 1.17, -3.83),(7.95, 1.17, -2.96),(4.67, 1.15, -0.27),(4.60, 1.15, -1.68),(7.39, 1.15, -4.82),(7.41, 1.15, 4.02);LateralIzquierdo,LateralDerecho,Central,Central,LateralDerecho,LateralIzquierdo,Central,LateralDerecho,Central,Central,Central,Central,LateralDerecho,LateralDerecho,LateralIzquierdo,Central,Central,Central,LateralIzquierdo,LateralDerecho,LateralDerecho,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralIzquierdo,Central,LateralIzquierdo,LateralIzquierdo,LateralIzquierdo,LateralDerecho,Central,LateralDerecho,LateralIzquierdo,Central,Central,LateralDerecho,Central,LateralIzquierdo,LateralIzquierdo,LateralIzquierdo,LateralDerecho,Central,LateralDerecho,Central,LateralDerecho,LateralIzquierdo,LateralIzquierdo,Central,Central,LateralIzquierdo,LateralDerecho;(15.75, 1.28, -0.52),(15.75, 1.30, 0.75),(15.75, 1.72, -1.22),(15.75, 1.20, 0.02),(15.75, 1.36, 0.69),(15.75, 1.20, 0.15),(15.75, 1.29, 0.01),(15.75, 1.32, -0.65),(15.75, 1.35, -1.12),(15.75, 1.19, 1.12),(15.75, 1.67, -0.71),(15.75, 1.14, 0.18),(15.75, 1.28, -1.02),(15.75, 1.70, -0.57),(15.75, 1.23, -0.66),(15.75, 1.29, -0.44),(15.75, 1.35, 1.31),(15.75, 1.31, 0.56),(15.75, 1.71, -0.47),(15.75, 1.68, -1.27),(15.75, 1.35, -0.09),(15.75, 1.13, 1.20),(15.75, 1.24, 1.22),(15.75, 1.33, 1.26),(15.75, 1.82, 1.19),(15.75, 1.28, -1.30),(15.75, 1.23, 0.68),(15.75, 1.25, 0.01),(15.75, 1.74, -0.01),(15.75, 1.31, -1.14),(15.75, 1.36, -0.68),(15.75, 1.68, 0.76),(15.75, 1.36, 0.04),(15.75, 1.20, -0.43),(15.75, 1.16, 1.21),(15.75, 1.87, -0.53),(15.75, 1.26, -0.63),(15.75, 1.84, 1.32),(15.75, 1.84, -1.25),(15.75, 1.31, 0.09),(15.75, 1.68, 0.02),(15.75, 1.75, 1.31),(15.75, 1.18, 0.15),(15.75, 1.28, 1.23),(15.75, 1.27, -0.48),(15.75, 1.18, -0.64),(15.75, 1.74, -0.54),(15.75, 1.26, 0.07),(15.75, 1.31, -1.19),(15.75, 1.64, 1.31),(15.75, 1.16, 1.11),(15.75, 1.66, 1.29);CentroIzquierdaBajo,CentroDerechaBajo,EscuadraIzquierda,CentroBajo,CentroDerechaBajo,CentroBajo,CentroBajo,CentroIzquierdaBajo,BajoIzquierda,BajoDerecha,CentroIzquierda,CentroBajo,BajoIzquierda,CentroIzquierda,CentroIzquierdaBajo,CentroIzquierdaBajo,BajoDerecha,CentroDerechaBajo,CentroIzquierda,EscuadraIzquierda,CentroBajo,BajoDerecha,BajoDerecha,BajoDerecha,EscuadraDerecha,BajoIzquierda,CentroDerechaBajo,CentroBajo,Centro,BajoIzquierda,CentroIzquierdaBajo,CentroDerecha,CentroBajo,CentroIzquierdaBajo,BajoDerecha,CentroIzquierda,CentroIzquierdaBajo,EscuadraDerecha,EscuadraIzquierda,CentroBajo,Centro,EscuadraDerecha,CentroBajo,BajoDerecha,CentroIzquierdaBajo,CentroIzquierdaBajo,CentroIzquierda,CentroBajo,BajoIzquierda,EscuadraDerecha,BajoDerecha,EscuadraDerecha;Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido,Parada,Parada,Parada,Gol recibido,Gol recibido;No parada,Right,Left,Right,Right,Right,Right,Left,Left,No parada,Right,No parada,No parada,Left,Left,Right,Right,Right,Left,Left,No parada,Right,Right,Right,Right,No parada,Right,Left,No parada,Left,Left,Right,Right,Left,Right,Left,Left,Right,No parada,Left,Left,No parada,No parada,No parada,No parada,Left,No parada,Left,Left,Right,No parada,No parada;0,014413,3,159783,6,109072,9,0148,11,774897,14,427147,16,972084,19,435787,21,770693,24,088797,26,322511,28,409839,30,330273,32,16618,33,94804,35,588222,37,101299,38,697904,40,14892,41,418134,42,649481,44,187745,45,270975,46,314167,47,240956,48,292608,49,563036,50,901568,52,064469,53,312928,54,413907,55,56809,56,882076,57,943797,58,875239,60,140264,61,418463,62,343403,63,547479,64,783559,65,823547,66,769332,67,934792,69,489372,70,65673,72,090036,73,176187,74,326972,75,264908,76,500535,77,692127,79,052828;1,391234,4,377108,7,692348,10,507221,12,938119,15,436941,18,335362,20,39437,23,117613,25,675427,27,760009,30,129326,31,477265,33,190056,35,13756,36,899249,38,499581,39,946484,41,227361,42,44484,43,986836,45,060489,46,112322,47,039717,48,091594,49,36252,50,710732,51,871433,53,101352,54,22148,55,366061,56,692932,57,742256,58,681054,59,937394,61,221605,62,15389,63,349945,64,582961,65,627288,66,571482,67,720838,69,287459,70,445585,71,875662,72,972371,74,11548,75,067066,76,303737,77,492216,78,852232,79,994051

